E02387;fullName;jobTitle;department;businessUnit;gender;age;hireDate;annualSalary;country;city;active
E01994;Dominic Guzman;Analyst;Finance;Manufacturing;Male;65;16.05.2004;$55.499 ;Brazil;Manaus;P
E03549;Angel Powell;Analyst II;Sales;Research & Development;Male;61;11.07.2008;$66.521 ;United States;Seattle;P
E03247;Mateo Vu;Account Representative;Sales;Speciality Products;Male;30;29.09.2016;$59.100 ;China;Chongqing;P
E02074;Caroline Jenkins;Analyst;Finance;Research & Development;Female;27;6.05.2018;$49.011 ;United States;Chicago;P
E04152;Nora Brown;Enterprise Architect;IT;Manufacturing;Female;32;11.02.2014;$99.575 ;United States;Austin;P
E01628;Adeline Huang;Controls Engineer;Engineering;Manufacturing;Female;34;16.12.2019;$99.989 ;China;Chengdu;P
E04285;Jackson Perry;Vice President;Marketing;Research & Development;Male;27;20.10.2019;$256.420 ;United States;Phoenix;P
E01417;Riley Padilla;Technical Architect;IT;Manufacturing;Female;35;15.05.2013;$78.940 ;United States;Miami;P
E01754;Leah Pena;Enterprise Architect;IT;Corporate;Female;57;3.01.1994;$82.872 ;Brazil;Manaus;P
E03749;Owen Lam;Sr. Business Partner;Human Resources;Speciality Products;Male;30;29.05.2017;$86.317 ;China;Chengdu;P
E03574;Kennedy Foster;Manager;Marketing;Speciality Products;Female;53;23.11.2013;$113.135 ;United States;Austin;P
E04600;John Moore;Vice President;IT;Speciality Products;Male;52;8.11.2005;$199.808 ;United States;Seattle;P
E00586;William Vu;Account Representative;Sales;Speciality Products;Male;37;14.11.2013;$56.037 ;China;Shanghai;P
E03538;Sadie Washington;Sr. Manger;Marketing;Research & Development;Female;29;24.05.2019;$122.350 ;United States;Phoenix;P
E02185;Gabriel Holmes;Enterprise Architect;IT;Research & Development;Male;40;4.11.2010;$92.952 ;United States;Seattle;P
E03830;Wyatt Rojas;Computer Systems Manager;IT;Corporate;Male;32;20.03.2013;$79.921 ;United States;Austin;P
E03720;Eva Coleman;Director;IT;Research & Development;Female;37;20.09.2009;$167.199 ;United States;Seattle;P
E03025;Dominic Clark;Quality Engineer;Engineering;Research & Development;Male;52;17.10.2012;$71.476 ;United States;Phoenix;P
E04917;Lucy Alexander;Director;Engineering;Manufacturing;Female;45;29.10.2014;$189.420 ;United States;Seattle;P
E00415;Everleigh Washington;HRIS Analyst;Human Resources;Research & Development;Female;64;20.10.2001;$64.057 ;United States;Phoenix;P
E02862;Leilani Butler;Analyst II;Marketing;Manufacturing;Female;27;21.09.2021;$68.728 ;United States;Phoenix;P
E04207;Peyton Huang;Sr. Manger;IT;Manufacturing;Female;25;2.07.2021;$125.633 ;China;Beijing;P
E02139;John Contreras;Analyst II;Marketing;Manufacturing;Male;35;15.05.2011;$66.889 ;United States;Columbus;P
E01797;Rylee Yu;Director;Accounting;Research & Development;Female;36;29.09.2015;$178.700 ;United States;Seattle;P
E01839;Piper Lewis;Field Engineer;Engineering;Research & Development;Female;33;22.12.2018;$83.990 ;United States;Chicago;P
E01633;Stella Alexander;Automation Engineer;Engineering;Corporate;Female;52;10.12.2005;$102.043 ;United States;Chicago;P
E01848;Addison Do;Operations Engineer;Engineering;Manufacturing;Female;46;30.05.2001;$90.678 ;United States;Columbus;P
E00716;Zoey Jackson;Business Partner;Human Resources;Manufacturing;Female;46;21.08.2008;$59.067 ;United States;Miami;P
E00699;John Chow;Sr. Manger;Marketing;Research & Development;Male;45;11.03.2021;$135.062 ;China;Chengdu;P
E00502;Ava Ayala;Sr. Manger;IT;Corporate;Female;55;16.08.2006;$159.044 ;Brazil;Manaus;P
E04000;Natalia Salazar;Sr. Analyst;Accounting;Manufacturing;Female;44;2.01.2019;$74.691 ;Brazil;Manaus;P
E02112;Skylar Carrillo;Engineering Manager;Engineering;Corporate;Female;44;18.12.2008;$92.753 ;United States;Austin;P
E03824;Christian Sanders;Vice President;Human Resources;Speciality Products;Male;45;7.08.2013;$236.946 ;United States;Seattle;P
E03906;Penelope Coleman;Analyst;Finance;Corporate;Female;36;27.08.2021;$48.906 ;United States;Miami;P
E00436;Piper Richardson;Sr. Analyst;Sales;Corporate;Female;38;27.01.2008;$80.024 ;United States;Columbus;P
E04798;Everly Walker;HRIS Analyst;Human Resources;Speciality Products;Female;41;23.10.2009;$54.415 ;United States;Seattle;P
E01249;Aurora Ali;Manager;Marketing;Research & Development;Female;30;24.04.2016;$120.341 ;United States;Seattle;P
E03349;Penelope Guerrero;Vice President;IT;Speciality Products;Female;43;4.08.2009;$208.415 ;United States;Seattle;P
E02966;Anna Mehta;Cloud Infrastructure Architect;IT;Speciality Products;Female;32;5.01.2020;$78.844 ;United States;Seattle;P
E01499;William Foster;Field Engineer;Engineering;Manufacturing;Male;58;23.05.2002;$76.354 ;United States;Phoenix;P
E00105;Jade Rojas;Director;Finance;Speciality Products;Female;37;28.01.2019;$165.927 ;United States;Phoenix;P
E00665;Isla Espinoza;Manager;Accounting;Speciality Products;Female;38;16.11.2021;$109.812 ;Brazil;Manaus;P
E00791;David Chu;Controls Engineer;Engineering;Corporate;Male;55;3.09.1998;$86.299 ;United States;Seattle;P
E01540;Thomas Padilla;Vice President;Marketing;Research & Development;Male;57;26.07.2003;$206.624 ;Brazil;Sao Paulo;P
E04474;Miles Salazar;IT Coordinator;IT;Manufacturing;Male;36;23.12.2010;$53.215 ;Brazil;Sao Paulo;P
E03417;Mila Hong;Test Engineer;Engineering;Research & Development;Female;30;22.05.2017;$86.858 ;China;Chongqing;P
E00254;Benjamin Moua;Computer Systems Manager;IT;Manufacturing;Male;40;2.07.2007;$93.971 ;China;Chongqing;P
E02166;Samuel Morales;Analyst II;Finance;Corporate;Male;34;27.06.2015;$57.008 ;United States;Phoenix;P
E00935;John Soto;Sr. Manger;Finance;Manufacturing;Male;60;23.09.2015;$141.899 ;United States;Phoenix;P
E01525;Joseph Martin;Analyst II;Marketing;Corporate;Male;41;13.09.2016;$64.847 ;United States;Miami;P
E00386;Jose Ross;Engineering Manager;Engineering;Research & Development;Male;53;8.04.1992;$116.878 ;United States;Miami;P
E00416;Parker James;Quality Engineer;Engineering;Speciality Products;Male;45;5.02.2005;$70.505 ;United States;Austin;P
E03383;Everleigh Fernandez;Director;Engineering;Research & Development;Female;30;22.05.2016;$189.702 ;Brazil;Manaus;P
E01516;Lincoln Hall;Director;Accounting;Speciality Products;Male;26;28.07.2020;$180.664 ;United States;Chicago;P
E01234;Willow Mai;Business Partner;Human Resources;Manufacturing;Female;45;17.12.2003;$48.345 ;China;Chengdu;P
E03440;Jack Cheng;Director;Human Resources;Manufacturing;Male;42;16.01.2014;$152.214 ;China;Beijing;P
E00431;Genesis Navarro;Cloud Infrastructure Architect;IT;Corporate;Female;41;28.04.2009;$69.803 ;Brazil;Manaus;P
E01258;Eliza Hernandez;Network Architect;IT;Corporate;Female;48;4.07.2019;$76.588 ;Brazil;Rio de Janerio;P
E00440;Gabriel Brooks;Network Engineer;IT;Manufacturing;Male;29;10.12.2018;$84.596 ;United States;Miami;P
E00595;Jack Huynh;Manager;Marketing;Research & Development;Male;27;25.09.2018;$114.441 ;China;Chongqing;P
E00972;Everly Chow;Sr. Manger;Finance;Speciality Products;Female;33;21.04.2018;$140.402 ;China;Beijing;P
E04562;Amelia Salazar;Analyst II;Finance;Corporate;Female;26;23.04.2019;$59.817 ;Brazil;Sao Paulo;P
E02802;Xavier Zheng;Account Representative;Sales;Manufacturing;Male;31;22.07.2017;$55.854 ;United States;Austin;P
E01427;Matthew Chau;Sr. Business Partner;Human Resources;Research & Development;Male;53;16.11.2002;$95.998 ;United States;Seattle;P
E04568;Mia Cheng;Sr. Manger;Sales;Manufacturing;Female;34;22.04.2015;$154.941 ;United States;Phoenix;P
E04931;Rylee Yu;Vice President;Finance;Speciality Products;Female;54;10.07.2011;$247.022 ;China;Beijing;P
E00443;Zoe Romero;Network Architect;IT;Manufacturing;Female;32;5.10.2021;$88.072 ;Brazil;Sao Paulo;P
E03890;Nolan Bui;Computer Systems Manager;IT;Research & Development;Male;28;26.05.2020;$67.925 ;China;Shanghai;P
E01194;Nevaeh Jones;Vice President;Sales;Manufacturing;Female;31;20.08.2020;$219.693 ;United States;Austin;P
E02875;Samantha Adams;Test Engineer;Engineering;Research & Development;Female;45;22.04.2013;$61.773 ;United States;Seattle;P
E04959;Madeline Shin;Computer Systems Manager;IT;Speciality Products;Female;48;9.01.2007;$74.546 ;United States;Seattle;P
E03816;Noah King;Development Engineer;Engineering;Speciality Products;Male;56;27.01.2015;$62.575 ;United States;Miami;P
E01261;Leilani Chow;Director;Human Resources;Corporate;Female;27;23.02.2021;$199.041 ;China;Beijing;P
E03612;Connor Simmons;Analyst II;Accounting;Speciality Products;Male;55;5.04.2007;$52.310 ;United States;Miami;P
E01388;Grayson Cooper;Sr. Manger;Finance;Speciality Products;Male;64;29.06.2013;$159.571 ;United States;Columbus;P
E03875;Ivy Soto;Field Engineer;Engineering;Research & Development;Female;50;23.10.1997;$91.763 ;United States;Austin;P
E04413;Aurora Simmons;Development Engineer;Engineering;Corporate;Female;51;22.12.1995;$96.475 ;United States;Austin;P
E00691;Andrew Thomas;Controls Engineer;Engineering;Manufacturing;Male;36;2.12.2016;$113.781 ;United States;Columbus;P
E03047;Ezekiel Desai;Director;Finance;Research & Development;Male;42;15.01.2003;$166.599 ;United States;Seattle;P
E04903;Gabriella Gupta;Sr. Account Representative;Sales;Corporate;Female;41;15.02.2005;$95.372 ;China;Shanghai;P
E04735;Skylar Liu;Director;IT;Research & Development;Female;29;9.08.2020;$161.203 ;China;Chengdu;P
E02850;Nova Coleman;System Administrator ;IT;Manufacturing;Female;44;13.12.2006;$74.738 ;United States;Miami;P
E03583;Evelyn Dinh;Director;Sales;Research & Development;Female;41;10.08.2018;$171.173 ;United States;Columbus;P
E02017;Brooks Marquez;Vice President;Sales;Corporate;Male;61;24.09.2019;$201.464 ;United States;Chicago;P
E01642;Connor Joseph;Director;Human Resources;Corporate;Male;50;22.07.1998;$174.895 ;United States;Chicago;P
E04379;Mia Lam;Sr. Manger;IT;Manufacturing;Female;49;18.04.2006;$134.486 ;United States;Austin;P
E04131;Scarlett Rodriguez;Sr. Analyst;Finance;Manufacturing;Female;60;24.02.2007;$71.699 ;Brazil;Manaus;P
E02872;Cora Rivera;Sr. Analyst;Marketing;Corporate;Female;42;2.01.2021;$94.430 ;United States;Seattle;P
E02331;Liam Jung;Manager;Finance;Corporate;Male;39;14.01.2010;$103.504 ;China;Chengdu;P
E00417;Sophia Huynh;Enterprise Architect;IT;Manufacturing;Female;55;9.08.2005;$92.771 ;United States;Miami;P
E04267;Athena Carrillo;Analyst II;Finance;Speciality Products;Female;39;6.04.2006;$71.531 ;United States;Columbus;P
E03061;Greyson Sanders;Cloud Infrastructure Architect;IT;Speciality Products;Male;28;6.03.2019;$90.304 ;United States;Chicago;P
E00013;Vivian Lewis;Manager;Marketing;Manufacturing;Female;65;7.09.2011;$104.903 ;United States;Columbus;P
E04265;Elena Vang;Analyst;Finance;Corporate;Female;52;19.02.2019;$55.859 ;China;Beijing;P
E04769;Natalia Diaz;Operations Engineer;Engineering;Corporate;Female;62;12.10.2006;$79.785 ;United States;Austin;P
E03042;Mila Leung;Sr. Analyst;Marketing;Corporate;Female;39;5.11.2007;$99.017 ;China;Beijing;P
E00527;Ava Nelson;Systems Analyst;IT;Manufacturing;Female;63;1.04.1992;$53.809 ;United States;Phoenix;P
E01095;Mateo Chu;Field Engineer;Engineering;Speciality Products;Male;27;16.04.2020;$71.864 ;China;Chengdu;P
E03131;Isla Lai;Vice President;Finance;Corporate;Female;37;6.12.2011;$225.558 ;China;Shanghai;P
E01713;Ezekiel Reed;Sr. Manger;IT;Manufacturing;Male;37;25.02.2014;$128.984 ;United States;Miami;P
E00128;Nolan Guzman;Field Engineer;Engineering;Speciality Products;Male;46;20.06.1999;$96.997 ;Brazil;Sao Paulo;P
E03849;Everleigh Espinoza;Director;Human Resources;Manufacturing;Female;54;22.01.2018;$176.294 ;United States;Austin;P
E02464;Evelyn Jung;Analyst;Sales;Research & Development;Female;30;14.02.2021;$48.340 ;China;Beijing;P
E00306;Sophie Silva;Vice President;Engineering;Corporate;Female;28;6.07.2017;$240.488 ;Brazil;Rio de Janerio;P
E03737;Mateo Williams;Enterprise Architect;IT;Manufacturing;Male;40;22.01.2011;$97.339 ;United States;Austin;P
E02783;Kennedy Rahman;Vice President;Human Resources;Manufacturing;Female;49;28.02.2003;$211.291 ;China;Chongqing;P
E02939;Levi Mendez;Vice President;Sales;Research & Development;Male;39;23.08.2011;$249.506 ;Brazil;Rio de Janerio;P
E02706;Julian Fong;Quality Engineer;Engineering;Speciality Products;Male;61;22.11.2002;$80.950 ;China;Chongqing;P
E00170;Nevaeh Kang;Automation Engineer;Engineering;Research & Development;Female;46;10.01.2021;$86.538 ;China;Chengdu;P
E01425;Hannah Nelson;Sr. Analyst;Marketing;Speciality Products;Female;35;7.09.2019;$70.992 ;United States;Austin;P
E00130;Anthony Rogers;Vice President;Engineering;Corporate;Male;33;18.06.2015;$205.314 ;United States;Columbus;P
E02094;Paisley Kang;Vice President;Human Resources;Corporate;Female;61;10.03.2017;$196.951 ;China;Beijing;P
E03567;Matthew Gupta;Network Engineer;IT;Speciality Products;Male;45;18.09.2005;$67.686 ;China;Beijing;P
E04682;Silas Chavez;Technical Architect;IT;Research & Development;Male;51;15.04.2008;$86.431 ;United States;Columbus;P
E00957;Colton Thao;Manager;Human Resources;Manufacturing;Male;55;16.11.1995;$125.936 ;China;Chongqing;P
E04458;Genesis Perry;Sr. Manger;Sales;Corporate;Female;46;18.07.2013;$149.712 ;United States;Columbus;P
E00521;Alexander Bryant;Field Engineer;Engineering;Speciality Products;Male;30;2.10.2021;$88.758 ;United States;Seattle;P
E03717;Elias Zhang;Solutions Architect;IT;Research & Development;Male;54;13.07.2013;$83.639 ;China;Beijing;P
E01533;Lily Carter;Network Architect;IT;Research & Development;Female;54;18.05.1998;$68.268 ;United States;Phoenix;P
E04449;Joseph Ruiz;Field Engineer;Engineering;Manufacturing;Male;45;26.02.2002;$75.819 ;Brazil;Sao Paulo;P
E02855;Avery Bailey;Sr. Analyst;Sales;Speciality Products;Female;49;15.05.1996;$86.658 ;United States;Phoenix;P
E00816;Miles Hsu;Analyst II;Finance;Research & Development;Male;55;16.03.2014;$74.552 ;China;Chengdu;P
E02283;Piper Cheng;Enterprise Architect;IT;Manufacturing;Female;62;15.03.2009;$82.839 ;United States;Miami;P
E04888;Skylar Watson;Network Architect;IT;Speciality Products;Female;28;8.10.2021;$64.475 ;United States;Phoenix;P
E03907;Jaxon Park;Network Architect;IT;Manufacturing;Male;33;24.07.2020;$69.453 ;China;Chengdu;P
E01501;Elijah Henry;Manager;IT;Corporate;Male;32;3.01.2014;$127.148 ;United States;Miami;P
E01141;Camila Watson;Vice President;Finance;Speciality Products;Female;32;2.01.2018;$190.253 ;United States;Austin;P
E02254;Lucas Thomas;Manager;Accounting;Research & Development;Male;55;28.04.2000;$115.798 ;United States;Miami;P
E04504;Skylar Doan;Sr. Business Partner;Human Resources;Research & Development;Female;58;21.08.1994;$93.102 ;United States;Seattle;P
E03394;Hudson Liu;Engineering Manager;Engineering;Speciality Products;Male;34;16.11.2017;$110.054 ;United States;Miami;P
E02942;Gianna Williams;Quality Engineer;Engineering;Research & Development;Female;27;28.01.2021;$95.786 ;United States;Chicago;P
E04130;Jaxson Sandoval;Sr. Analyst;Sales;Speciality Products;Male;61;3.05.2017;$90.855 ;Brazil;Sao Paulo;P
E02848;Jameson Alvarado;Enterprise Architect;IT;Manufacturing;Male;47;14.03.1999;$92.897 ;Brazil;Sao Paulo;P
E00085;Joseph Ly;Vice President;Marketing;Speciality Products;Male;40;28.02.2009;$242.919 ;China;Chongqing;P
E03956;Daniel Richardson;Director;Engineering;Speciality Products;Male;30;20.05.2018;$184.368 ;United States;Austin;P
E00672;Elias Figueroa;Sr. Manger;Finance;Corporate;Male;45;24.12.2021;$144.754 ;United States;Phoenix;P
E04618;Emma Brooks;Sr. Account Representative;Sales;Research & Development;Female;30;18.12.2016;$89.458 ;United States;Austin;P
E03506;Isla Wong;Vice President;Accounting;Corporate;Female;56;16.03.2014;$190.815 ;United States;Austin;P
E00568;Everly Walker;Sr. Manger;Sales;Research & Development;Female;62;2.08.1999;$137.995 ;United States;Austin;P
E00535;Mila Pena;Sr. Business Partner;Human Resources;Manufacturing;Female;45;21.12.2007;$93.840 ;Brazil;Manaus;P
E04630;Mason Zhao;Technical Architect;IT;Research & Development;Male;46;26.10.2021;$94.790 ;China;Chongqing;P
E00874;Jaxson Mai;Vice President;Human Resources;Research & Development;Male;48;8.03.2014;$197.367 ;United States;Austin;P
E01546;Ava Garza;Director;Accounting;Manufacturing;Female;27;25.06.2018;$174.097 ;United States;Phoenix;P
E00941;Nathan Mendez;Manager;IT;Speciality Products;Male;53;31.10.2006;$120.128 ;United States;Austin;P
E03446;Maria Griffin;Manager;Marketing;Manufacturing;Female;59;25.04.2007;$129.708 ;United States;Miami;P
E01361;Alexander Choi;Manager;Marketing;Research & Development;Male;55;18.09.1994;$102.270 ;United States;Chicago;P
E01631;Maria Hong;Vice President;Finance;Speciality Products;Female;43;31.07.2005;$249.686 ;China;Chongqing;P
E03719;Sophie Ali;Analyst;Finance;Manufacturing;Female;55;28.03.2002;$50.475 ;United States;Columbus;P
E03269;Julian Ross;Manager;Marketing;Research & Development;Male;51;2.07.2020;$100.099 ;United States;Miami;P
E01037;Emma Hill;IT Coordinator;IT;Manufacturing;Female;54;27.12.2016;$41.673 ;United States;Miami;P
E02216;Leilani Yee;Sr. Analyst;Marketing;Speciality Products;Female;47;12.07.2017;$70.996 ;China;Chengdu;P
E02803;Jack Brown;Analyst;Marketing;Corporate;Male;55;7.12.2004;$40.752 ;United States;Phoenix;P
E01584;Charlotte Chu;Network Engineer;IT;Manufacturing;Female;50;23.01.2001;$97.537 ;China;Chengdu;P
E02489;Jeremiah Chu;IT Systems Architect;IT;Research & Development;Male;31;12.09.2020;$96.567 ;China;Shanghai;P
E03189;Miles Cho;Systems Analyst;IT;Speciality Products;Male;47;10.03.1999;$49.404 ;China;Beijing;P
E03560;Caleb Marquez;IT Systems Architect;IT;Research & Development;Male;29;15.10.2019;$66.819 ;Brazil;Rio de Janerio;P
E00769;Eli Soto;Analyst;Marketing;Speciality Products;Male;38;2.05.2016;$50.784 ;Brazil;Rio de Janerio;P
E02791;Carter Mejia;Sr. Manger;Human Resources;Research & Development;Male;29;9.05.2019;$125.828 ;Brazil;Sao Paulo;P
E02333;Ethan Clark;Sr. Business Partner;Human Resources;Manufacturing;Male;33;4.08.2017;$92.610 ;United States;Columbus;P
E01002;Asher Jackson;Sr. Manger;Sales;Speciality Products;Male;50;25.03.2003;$123.405 ;United States;Columbus;P
E03520;Ayla Ng;Account Representative;Sales;Manufacturing;Female;46;20.03.2004;$73.004 ;China;Beijing;P
E00752;Jose Kang;Engineering Manager;Engineering;Corporate;Male;57;25.04.1999;$95.061 ;China;Shanghai;P
E00233;Aubrey Romero;Director;Sales;Corporate;Female;49;2.04.1998;$160.832 ;United States;Phoenix;P
E02639;Jaxson Wright;Service Desk Analyst;IT;Manufacturing;Male;54;28.12.2010;$64.417 ;United States;Columbus;P
E00697;Elias Ali;Manager;Sales;Corporate;Male;28;19.03.2021;$127.543 ;China;Shanghai;P
E02183;Nolan Pena;Analyst;Marketing;Manufacturing;Male;30;21.06.2018;$56.154 ;Brazil;Sao Paulo;P
E00715;Luna Liu;Vice President;Sales;Manufacturing;Female;36;22.02.2014;$218.530 ;China;Shanghai;P
E04288;Brooklyn Reyes;Service Desk Analyst;IT;Manufacturing;Female;36;19.12.2019;$91.954 ;United States;Columbus;P
E02421;Hadley Parker;Vice President;Marketing;Corporate;Female;30;21.09.2016;$221.217 ;United States;Columbus;P
E00523;Jonathan Chavez;System Administrator ;IT;Manufacturing;Male;29;11.05.2017;$87.536 ;United States;Seattle;P
E03615;Sarah Ayala;Analyst;Sales;Corporate;Female;47;9.06.2015;$41.429 ;United States;Seattle;P
E02761;Elijah Kang;Vice President;Engineering;Manufacturing;Male;35;10.10.2011;$245.482 ;United States;Seattle;P
E02121;Ella White;Development Engineer;Engineering;Manufacturing;Female;25;20.01.2020;$71.359 ;United States;Phoenix;P
E01486;Jordan Truong;Director;Engineering;Speciality Products;Male;45;28.08.2014;$183.161 ;United States;Miami;P
E00725;Daniel Jordan;Network Administrator;IT;Corporate;Male;58;26.07.1993;$69.260 ;United States;Phoenix;P
E03027;Daniel Dixon;Operations Engineer;Engineering;Speciality Products;Male;51;9.10.1999;$95.639 ;United States;Austin;P
E03689;Luca Duong;Manager;Human Resources;Research & Development;Male;48;30.06.2004;$120.660 ;China;Chengdu;P
E01986;Levi Brown;Sr. Analyst;Sales;Corporate;Male;36;26.12.2021;$75.119 ;United States;Chicago;P
E01286;Mason Cho;Vice President;Accounting;Research & Development;Male;59;18.05.2011;$192.213 ;United States;Chicago;P
E01409;Nova Herrera;Account Representative;Sales;Speciality Products;Female;45;10.05.2014;$65.047 ;Brazil;Sao Paulo;P
E00626;Elijah Watson;Sr. Manger;Sales;Manufacturing;Male;29;16.03.2017;$151.413 ;United States;Seattle;P
E04342;Wesley Gray;Sr. Analyst;Accounting;Speciality Products;Male;62;22.04.2003;$76.906 ;United States;Seattle;P
E03904;Wesley Sharma;Manager;IT;Corporate;Male;51;23.02.1994;$122.802 ;China;Shanghai;P
E01291;Mateo Mendez;Development Engineer;Engineering;Research & Development;Male;47;14.07.1998;$99.091 ;United States;Austin;P
E00917;Jose Molina;Controls Engineer;Engineering;Manufacturing;Male;40;28.02.2008;$113.987 ;Brazil;Manaus;P
E01484;Luna Simmons;Sr. Analyst;Finance;Corporate;Female;28;4.09.2020;$95.045 ;United States;Chicago;P
E03864;Samantha Barnes;Vice President;Marketing;Speciality Products;Female;29;5.01.2017;$190.401 ;United States;Columbus;P
E00488;Hunter Ortiz;Sr. Analyst;Finance;Corporate;Male;46;20.01.2013;$86.061 ;Brazil;Rio de Janerio;P
E02227;Thomas Aguilar;Sr. Account Representative;Sales;Speciality Products;Male;45;10.02.2021;$79.882 ;United States;Phoenix;P
E04802;Skylar Bell;Vice President;Engineering;Manufacturing;Female;30;6.03.2018;$255.431 ;United States;Columbus;P
E01970;Anna Zhu;Service Desk Analyst;IT;Manufacturing;Female;48;22.08.2003;$82.017 ;China;Beijing;P
E02813;Ella Hunter;Analyst;Finance;Manufacturing;Female;51;18.01.2017;$53.799 ;United States;Columbus;P
E02031;Emery Hunter;Sr. Analyst;Sales;Corporate;Female;28;3.07.2021;$82.739 ;United States;Phoenix;P
E03252;Sofia Parker;Cloud Infrastructure Architect;IT;Manufacturing;Female;36;30.05.2014;$99.080 ;United States;Chicago;P
E04871;Lucy Fong;Sr. Account Representative;Sales;Corporate;Female;40;20.01.2011;$96.719 ;China;Chengdu;P
E03547;Vivian Barnes;Director;Human Resources;Research & Development;Female;51;28.03.2021;$180.687 ;United States;Phoenix;P
E04742;Kai Chow;Engineering Manager;Engineering;Corporate;Male;45;12.04.2001;$95.743 ;United States;Austin;P
E01070;Melody Cooper;Development Engineer;Engineering;Research & Development;Female;44;4.09.2009;$89.695 ;United States;Austin;P
E04359;James Bui;Manager;Finance;Manufacturing;Male;64;20.07.1998;$122.753 ;China;Chongqing;P
E03268;Liam Grant;Sr. Business Partner;Human Resources;Research & Development;Male;30;15.03.2015;$93.734 ;United States;Phoenix;P
E04035;Owen Han;Analyst;Accounting;Corporate;Male;28;12.05.2017;$52.069 ;China;Chongqing;P
E01221;Kinsley Vega;Vice President;Accounting;Corporate;Female;33;16.12.2020;$258.426 ;Brazil;Rio de Janerio;P
E00276;Leonardo Martin;Manager;Finance;Speciality Products;Male;51;16.02.1995;$125.375 ;United States;Chicago;P
E01687;Greyson Lam;Vice President;Accounting;Manufacturing;Male;25;8.02.2021;$198.243 ;United States;Miami;P
E02844;Emilia Rivera;Test Engineer;Engineering;Research & Development;Female;42;23.11.2017;$96.023 ;United States;Miami;P
